CustomerID,CustomerSegment,Frequency,FrequencyScore,Monetary,MonetaryScore,Recency,RecencyScore,RFM_SCORE
12437,Others,200,5,4951.409999999997,5,9,1,155
12438,Loyal Customers,98,4,2906.8500000000004,5,15,5,545
12441,Others,11,1,173.55,1,485,2,211
12442,Others,12,1,172.06,1,181,4,411
12444,Champions,177,5,5005.46,5,0,5,555
12445,Others,4,1,133.4,1,23,3,311
12446,Others,58,4,1002.3099999999998,4,58,1,144
12447,Others,26,2,476.49,2,67,1,122
12448,Others,22,2,449.4500000000001,2,45,2,222
12449,Others,191,5,4067.2900000000013,5,23,3,355
12450,Others,8,1,197.88,1,174,4,411
12451,Champions,354,5,9035.519999999999,5,11,5,555
12452,Potential Loyalist,22,2,430.57000000000005,2,17,4,422
12453,Loyal Customers,43,3,707.0899999999999,3,135,5,533
12454,At Risk,15,2,3528.34,5,57,1,125
12455,Others,90,4,2466.859999999997,5,74,1,145
12456,Others,125,5,3181.039999999998,5,45,2,255
12457,Others,63,4,2363.2299999999996,5,82,1,145
12458,Others,38,3,947.4000000000001,4,72,1,134
12461,Loyal Customers,35,3,826.8800000000001,3,125,5,533
12462,Loyal Customers,62,4,1189.5900000000001,4,19,4,444
12463,Others,83,4,1344.7799999999997,4,6,1,144
12464,Loyal Customers,29,3,1212.0499999999997,4,11,5,534
12465,Loyal Customers,47,3,742.1900000000002,3,18,4,433
12468,Others,38,3,729.54,3,218,3,333
12471,Champions,460,5,19824.049999999945,5,11,5,555
12472,Others,339,5,6572.110000000003,5,52,2,255
12473,Others,168,5,3938.55,5,54,1,155
12474,Others,424,5,7375.789999999998,5,3,3,355
12475,Others,36,3,723.38,3,54,1,133
12476,Loyal Customers,233,5,6816.420000000005,5,16,4,455
12477,Others,300,5,13219.73999999999,5,23,3,355
12478,Loyal Customers,36,3,680.9900000000002,3,181,4,433
12479,Loyal Customers,31,3,527.2,3,12,5,533
12480,Others,154,5,3281.6300000000015,5,29,3,355
12481,Others,217,5,5596.320000000002,5,23,3,355
12483,Loyal Customers,75,4,2484.980000000001,5,18,4,445
12484,Champions,346,5,4541.720000000001,5,101,5,555
12488,Loyal Customers,55,3,1298.6599999999999,4,10,5,534
12489,Potential Loyalist,15,2,334.92999999999995,2,162,4,422
12490,Loyal Customers,245,5,5417.9299999999985,5,18,4,455
12491,Others,26,2,460.4000000000001,2,333,2,222
12492,Potential Loyalist,20,2,263.21,2,106,5,522
12493,Potential Loyalist,22,2,433.74,2,166,4,422
12494,Loyal Customers,77,4,1246.1000000000006,4,16,4,444
12497,At Risk,14,2,1043.1,4,82,1,124
12498,Others,23,2,403.7,2,22,3,322
12500,Others,61,4,4257.820000000001,5,24,3,345
12501,Loyal Customers,149,5,2169.3899999999994,5,162,4,455
12502,Loyal Customers,147,5,3723.87,5,188,4,455
12504,Others,9,1,482.04999999999995,2,19,4,412
12506,Others,23,2,73.50000000000003,1,233,3,321
12507,Potential Loyalist,22,2,1304.81,4,135,5,524
12508,Others,69,4,398.27000000000004,2,27,3,342
12509,Others,7,1,176.5,1,285,3,311
12510,Loyal Customers,33,3,982.57,4,143,5,534
12512,Others,34,3,138.03000000000006,1,244,3,331
12513,Loyal Customers,35,3,612.2900000000001,3,113,5,533
12514,Others,51,3,1017.6800000000002,4,268,3,334
12515,Others,16,2,383.7,2,354,2,222
12516,At Risk,26,2,1312.06,4,4,2,224
12517,Others,284,5,2502.8399999999983,5,29,3,355
12518,Champions,124,5,2056.8899999999994,4,0,5,554
12519,Potential Loyalist,18,2,340.84,2,153,4,422
12520,Others,152,5,2634.26,5,37,2,255
12521,Loyal Customers,38,3,599.6800000000001,3,143,5,533
12522,Others,12,1,192.72000000000003,1,40,2,211
12523,Others,106,4,1789.7700000000007,4,9,1,144
12524,Champions,144,5,4485.719999999999,5,10,5,555
12526,Others,71,4,1316.6600000000005,4,54,1,144
12527,Others,18,2,348.71000000000004,2,82,1,122
12528,Loyal Customers,92,4,1933.4800000000007,4,10,5,544
12530,Others,66,4,1662.2799999999993,4,30,3,344
12531,Potential Loyalist,17,2,125.22,1,15,5,521
12532,Others,16,2,349.83,2,90,1,122
12534,Others,63,4,1089.18,4,336,2,244
12535,Others,34,3,716.3500000000001,3,92,1,133
12536,Others,261,5,12601.830000000005,5,30,3,355
12538,Others,21,2,363.95,2,60,1,122
12539,Others,273,5,5568.349999999995,5,23,3,355
12540,Loyal Customers,478,5,13400.23999999999,5,20,4,455
12541,Others,52,3,981.1800000000002,4,60,1,134
12544,Others,19,2,372.7,2,274,3,322
12545,Others,50,3,1000.3899999999999,4,76,1,134
12546,Others,69,4,1161.5,4,47,2,244
12547,Others,8,1,207.8,1,198,4,411
12548,Others,5,1,95.19999999999999,1,167,4,411
12550,Others,57,3,964.8299999999994,4,80,1,134
12551,Others,10,1,168,1,358,2,211
12552,Others,20,2,437.81999999999994,2,40,2,222
12553,Champions,191,5,3692.280000000001,5,0,5,555
12556,Others,121,4,603.7099999999997,3,33,2,243
12557,Loyal Customers,33,3,11990.96,5,17,4,435
12558,Others,11,1,269.96000000000004,2,301,2,212
12559,Others,21,2,561.7099999999999,3,311,2,223
12560,Loyal Customers,105,4,2134.01,5,113,5,545
12561,Others,16,2,238.85,1,69,1,121
12562,Others,168,5,3781.7400000000025,5,23,3,355
12564,Others,21,2,456.9000000000001,2,262,3,322
12565,Others,9,1,145.92,1,289,3,311
12566,Others,19,2,351.65000000000003,2,87,1,122
12567,Others,446,5,9401.279999999993,5,23,3,355
12569,Champions,188,5,4124.69,5,0,5,555
12571,Others,34,3,519.6099999999999,3,40,2,233
12572,Others,60,4,1020.4200000000003,4,52,2,244
12573,Others,28,2,160.54,1,228,3,321
12574,Others,11,1,218.45000000000002,1,316,2,211
12576,Loyal Customers,88,4,1315.8299999999997,4,130,5,544
12577,Others,147,5,657.8000000000003,3,243,3,353
12578,Others,114,4,2794.5099999999993,5,22,3,345
12579,Others,29,3,440.41999999999996,2,79,1,132
12580,Potential Loyalist,24,2,415.7,2,159,4,422
12581,Others,15,2,197.70999999999998,1,40,2,221
12582,Others,22,2,511.3599999999999,3,239,3,323
12583,Champions,247,5,7281.379999999993,5,0,5,555
12584,Loyal Customers,96,4,2338.1499999999996,5,18,4,445
12585,Others,87,4,2040.099999999999,4,235,3,344
12586,Others,11,1,196.94,1,18,4,411
12587,Others,4,1,144,1,301,2,211
12588,Others,10,1,214.9,1,40,2,211
12589,Others,35,3,646.6800000000001,3,29,3,333
12590,Others,68,4,9864.260000000004,5,5,2,245
12591,Others,26,2,452.84999999999985,2,318,2,222
12592,Others,18,2,437.59999999999997,2,66,1,122
12593,Potential Loyalist,21,2,418.09999999999997,2,109,5,522
12594,Others,118,4,3338.2199999999984,5,47,2,245
12596,Others,27,2,618.27,3,36,2,223
12597,Loyal Customers,206,5,3811.2200000000016,5,20,4,455
12598,Champions,132,5,3023.079999999999,5,10,5,555
12599,Others,62,4,1032.5800000000006,4,33,2,244
12600,Others,64,4,2599.0400000000004,5,29,3,345
12601,Others,28,2,577.0600000000001,3,39,2,223
12602,Others,12,1,153.12000000000003,1,0,5,511
12603,Others,3,1,739.1999999999999,3,22,3,313
12604,Others,16,2,254.17999999999995,2,80,1,122
12607,Others,101,4,1579.51,4,61,1,144
12609,Others,60,4,1126.8500000000001,4,79,1,144
12610,Others,106,4,2099.540000000001,5,23,3,345
12611,Others,65,4,1193.32,4,53,2,244
12612,Others,19,2,704.0400000000001,3,75,1,123
12613,Others,153,5,3344.3799999999983,5,58,1,155
12614,Potential Loyalist,20,2,315.59999999999997,2,160,4,422
12615,Others,105,4,2291.1900000000005,5,72,1,145
12616,Loyal Customers,32,3,713.3,3,215,4,433
12617,Others,42,3,355.5300000000002,2,60,1,132
12618,Others,11,1,177.31,1,22,3,311
12619,Loyal Customers,90,4,3641.2400000000002,5,17,4,445
12620,Loyal Customers,92,4,1339.4099999999999,4,15,5,544
12621,Others,467,5,13689.67,5,5,2,255
12622,Others,11,1,180.09999999999997,1,233,3,311
12623,Potential Loyalist,18,2,305.1,2,129,5,522
12624,Loyal Customers,38,3,641.1300000000001,3,107,5,533
12625,Others,86,4,2683.8199999999997,5,5,2,245
12626,Others,294,5,6620.479999999998,5,24,3,355
12627,Champions,230,5,4478.53,5,11,5,555
12628,Loyal Customers,41,3,786.4599999999998,3,182,4,433
12630,Loyal Customers,64,4,1270.8799999999999,4,10,5,544
12631,Others,31,3,640.5000000000002,3,58,1,133
12633,Loyal Customers,101,4,2163.9799999999996,5,0,5,545
12635,Others,101,4,1689.18,4,31,2,244
12637,Others,390,5,6021.900000000001,5,92,1,155
12638,Loyal Customers,39,3,671.69,3,182,4,433
12639,Others,22,2,486.1,2,239,3,322
12640,Others,53,3,1174.58,4,24,3,334
12641,Others,10,1,185.9,1,116,5,511
12642,Others,47,3,1013.26,4,26,3,334
12643,At Risk,24,2,3344.6400000000003,5,39,2,225
12644,Others,31,3,477.9100000000001,2,305,2,232
12645,Loyal Customers,73,4,1775.1800000000005,4,110,5,544
12646,Others,45,3,1346.9700000000003,4,50,2,234
12647,Others,122,5,3722.820000000001,5,23,3,355
12648,Potential Loyalist,21,2,318.05,2,125,5,522
12649,Others,31,3,623.5099999999999,3,35,2,233
12650,Potential Loyalist,20,2,314.44,2,181,4,422
12651,Others,9,1,114.00000000000003,1,100,5,511
12652,Others,48,3,919.9799999999998,3,9,1,133
12653,Loyal Customers,43,3,2209.8500000000004,5,149,5,535
12654,Loyal Customers,38,3,601.98,3,11,5,533
12656,Loyal Customers,126,5,4051.170000000002,5,18,4,455
12657,Loyal Customers,47,3,1643.18,4,12,5,534
12658,Loyal Customers,36,3,686.0500000000001,3,19,4,433
12659,Lost,5,1,91.68,1,60,1,111
12660,Others,13,1,245.10000000000002,1,12,5,511
12662,Others,230,5,3849.7799999999984,5,24,3,355
12664,Loyal Customers,37,3,4881.879999999999,5,0,5,535
12665,Others,3,1,63,1,325,2,211
12667,Loyal Customers,33,3,620.13,3,0,5,533
12668,Champions,161,5,3807.150000000002,5,12,5,555
12669,Others,101,4,2744.0300000000007,5,3,3,345
12670,Loyal Customers,92,4,2996.0500000000006,5,11,5,545
12672,Others,10,1,225.9,1,330,2,211
12673,Others,42,3,610.52,3,242,3,333
12674,Others,83,4,1970.6000000000006,4,92,1,144
12676,Others,45,3,1331.3900000000006,4,25,3,334
12678,Others,165,5,17628.460000000003,5,43,2,255
12679,Loyal Customers,48,3,1113.0200000000002,4,0,5,534
12680,Others,52,3,862.81,3,31,2,233
12681,Champions,638,5,13787.54,5,15,5,555
12682,Loyal Customers,525,5,12288.219999999998,5,2,4,455
12683,Others,344,5,8476.569999999998,5,5,2,255
12684,Others,105,4,2283.6299999999997,5,25,3,345
12685,Others,157,5,2863.0800000000004,5,29,3,355
12686,Lost,7,1,89.14,1,638,1,111
12688,Champions,171,5,4873.810000000005,5,114,5,555
12689,Others,72,4,1247.61,4,26,3,344
12690,Potential Loyalist,16,2,389.00999999999993,2,206,4,422
12691,Loyal Customers,32,3,1035.8,4,0,5,534
12693,Others,39,3,855.9099999999997,3,5,2,233
12694,Others,37,3,869.6699999999998,3,71,1,133
12695,Potential Loyalist,27,2,582.1,3,108,5,523
12697,Others,41,3,957.5899999999999,4,29,3,334
12700,Champions,268,5,4939.990000000006,5,127,5,555
12701,Others,53,3,797.7099999999999,3,36,2,233
12702,Others,12,1,219,1,20,4,411
12703,Others,21,2,283.54999999999995,2,72,1,122
12704,Others,88,4,2340.84,5,23,3,345
12705,Loyal Customers,334,5,6868.290000000003,5,16,4,455
12707,Others,33,3,603.42,3,292,3,333
12708,Others,157,5,2712.9100000000008,5,60,1,155
12709,Champions,208,5,9736.519999999991,5,0,5,555
12710,Loyal Customers,77,4,1149.0200000000007,4,202,4,444
12712,Others,133,5,4396.129999999999,5,9,1,155
12713,Others,38,3,848.5499999999998,3,89,1,133
12714,Champions,259,5,4708.859999999994,5,10,5,555
12715,Potential Loyalist,21,2,353.85999999999996,2,107,5,522
12716,Loyal Customers,69,4,1053.4899999999996,4,134,5,544
12717,Others,55,3,1030.98,4,33,2,234
12718,Others,19,2,238.25000000000003,1,72,1,121
12719,Loyal Customers,39,3,644.9499999999999,3,214,4,433
12720,Others,354,5,5781.730000000001,5,3,3,355
12721,Others,161,5,2656.130000000001,5,80,1,155
12722,Others,53,3,997.6299999999999,4,3,3,334
12723,Loyal Customers,69,4,725.0699999999998,3,17,4,443
12724,Others,53,3,1031.4099999999999,4,39,2,234
12725,Others,24,2,427.79999999999995,2,638,1,122
12726,Others,124,5,2609.1000000000004,5,29,3,355
12727,Champions,139,5,3980.7000000000003,5,11,5,555
12728,Others,46,3,836.3299999999999,3,39,2,233
12729,Potential Loyalist,26,2,453.0100000000001,2,114,5,522
12731,Others,274,5,18895.910000000003,5,24,3,355
12732,Others,12,1,236.2600000000001,1,180,4,411
12733,Others,22,2,383.95,2,235,3,322
12734,Others,4,1,110.39999999999999,1,353,2,211
12735,Loyal Customers,43,3,779.5699999999998,3,192,4,433
12736,Others,4,1,234.00000000000003,1,39,2,211
12738,Lost,11,1,155.35,1,666,1,111
12739,Others,38,3,1013.0400000000001,4,79,1,134
12740,Potential Loyalist,27,2,427.5999999999999,2,153,4,422
12743,Loyal Customers,134,5,546.4299999999997,3,135,5,553
12744,Others,222,5,21279.289999999994,5,52,2,255
12747,Others,103,4,4196.010000000001,5,23,3,345
12748,Others,4596,5,33719.730000000316,5,5,2,255
12749,Others,199,5,4090.880000000001,5,23,3,355
12750,Others,15,2,275.88,2,277,3,322
12752,Others,53,3,4366.779999999999,5,82,1,135
12753,Others,197,5,21429.39,5,23,3,355
12754,Loyal Customers,63,4,3010.74,5,160,4,445
12755,Others,4,1,3811.9499999999994,5,251,3,315
12756,Lost,4,1,112.08000000000001,1,87,1,111
12757,Others,371,5,7857.099999999999,5,5,2,255
12758,Loyal Customers,97,4,2791.590000000001,5,117,5,545
12759,Others,95,4,1531.4400000000007,4,53,2,244
12762,Others,69,4,1898.5200000000004,4,26,3,344
12763,Potential Loyalist,18,2,494.08,3,139,5,523
12764,Others,45,3,1693.8800000000003,4,317,2,234
12766,Others,310,5,6989.629999999999,5,58,1,155
12769,Others,32,3,1143.6000000000001,4,239,3,334
12770,Others,12,1,1351.4499999999998,4,211,4,414
12772,Others,55,3,892.4700000000004,3,30,3,333
12775,Loyal Customers,66,4,1386.0400000000004,4,18,4,444
12778,Loyal Customers,50,3,822.2300000000001,3,20,4,433
12779,Loyal Customers,149,5,3981.360000000003,5,199,4,455
12781,Potential Loyalist,25,2,826.7400000000001,3,153,4,423
12782,Loyal Customers,103,4,2330.9200000000014,5,150,4,445
12783,Others,84,4,2225.91,5,54,1,145
12784,Loyal Customers,59,4,574.42,3,10,5,543
12785,Others,14,2,311.95,2,424,2,222
12787,Potential Loyalist,20,2,463.65999999999997,2,10,5,522
12789,Others,4,1,91.85000000000001,1,214,4,411
12790,Potential Loyalist,21,2,324.9200000000001,2,193,4,422
12791,Lost,2,1,192.60000000000002,1,697,1,111
12792,Others,25,2,400.54,2,257,3,322
12793,Potential Loyalist,24,2,545.48,3,100,5,523
12794,Others,45,3,860.4099999999999,3,54,1,133
12795,Potential Loyalist,14,2,430.4800000000001,2,19,4,422
12797,Others,13,1,254.03,2,454,2,212
12798,Others,8,1,6977.039999999999,5,11,5,515
12802,Potential Loyalist,25,2,427.5799999999999,2,187,4,422
12808,Potential Loyalist,28,2,483.65000000000015,2,126,5,522
12809,Potential Loyalist,25,2,489.31,2,178,4,422
12811,Others,31,3,514.85,3,261,3,333
12812,Others,15,2,229.63999999999993,1,45,2,221
12814,Others,2,1,125.92,1,102,5,511
12815,Loyal Customers,47,3,1063.46,4,148,5,534
12816,Loyal Customers,29,3,572.2,3,177,4,433
12817,Others,4,1,166.04,1,282,3,311
12818,Others,14,2,1542.08,4,262,3,324
12820,Others,59,4,942.3399999999999,4,45,2,244
12821,Lost,6,1,92.72,1,96,1,111
12822,Others,46,3,948.8799999999999,4,71,1,134
12823,At Risk,5,1,1759.5,4,75,1,114
12824,Others,25,2,397.11999999999995,2,30,3,322
12826,Others,91,4,1474.7199999999993,4,60,1,144
12827,Others,25,2,430.15,2,45,2,222
12828,Loyal Customers,56,3,1018.7100000000003,4,113,5,534
12829,Others,11,1,293,2,162,4,412
12830,Others,38,3,6814.640000000001,5,92,1,135
12831,Others,9,1,215.05,1,263,3,311
12832,Potential Loyalist,27,2,383.03000000000003,2,152,4,422
12833,Potential Loyalist,24,2,417.37999999999994,2,146,5,522
12834,Others,18,2,312.38,2,310,2,222
12836,Others,175,5,2612.8599999999988,5,30,3,355
12837,Others,12,1,134.1,1,174,4,411
12838,Loyal Customers,123,5,683.1299999999994,3,182,4,453
12839,Champions,314,5,5591.420000000003,5,12,5,555
12840,Others,113,4,2726.769999999999,5,65,1,145
12841,Others,420,5,4022.3499999999967,5,4,2,255
12842,Others,34,3,1118.99,4,71,1,134
12843,Others,103,4,1702.26,4,66,1,144
12844,Others,52,3,325.9599999999999,2,60,1,132
12845,Others,27,2,354.09000000000003,2,268,3,322
12847,Others,91,4,871.5399999999998,3,23,3,343
12849,Loyal Customers,51,3,1050.8899999999999,4,121,5,534
12851,Others,50,3,135.17999999999995,1,245,3,331
12852,Others,17,2,311.54999999999995,2,295,3,322
12853,Loyal Customers,78,4,1957.1,4,135,5,544
12854,Others,110,4,1324.5000000000007,4,6,1,144
12855,Lost,3,1,38.1,1,666,1,111
12856,Loyal Customers,314,5,2179.9300000000007,5,19,4,455
12857,Others,46,3,1106.4000000000003,4,69,1,134
12863,Others,5,1,521.2,3,53,2,213
12864,Others,3,1,147.12,1,139,5,511
12865,Others,95,4,1568.229999999999,4,27,3,344
12866,Others,26,2,559.1199999999999,3,341,2,223
12867,Others,538,5,4036.819999999996,5,27,3,355
12868,Others,107,4,1607.0600000000009,4,9,1,144
12871,Lost,11,1,380.64000000000004,2,85,1,112
12872,Others,66,4,599.9699999999998,3,327,2,243
12873,Others,4,1,374,2,310,2,212
12875,Others,2,1,343.2300000000001,2,144,5,512
12876,Others,85,4,2218.0200000000004,5,58,1,145
12877,Others,154,5,1535.7700000000007,4,25,3,354
12878,Others,47,3,854.9899999999999,3,237,3,333
12879,Others,10,1,573.22,3,45,2,213
12881,Lost,7,1,298,2,98,1,112
12882,Others,13,1,1463.0399999999995,4,10,5,514
12883,Others,42,3,703.4700000000001,3,25,3,333
12884,Others,7,1,309.05000000000007,2,1,5,512
12885,Loyal Customers,71,4,1175.2199999999996,4,124,5,544
12886,Others,82,4,1378.4,4,249,3,344
12888,Lost,5,1,354.12,2,96,1,112
12890,Others,82,4,380.46999999999997,2,25,3,342
12891,Others,3,1,331,2,157,4,412
12893,Others,34,3,188.14,1,90,1,131
12895,Others,22,2,372.79999999999995,2,43,2,222
12897,Others,4,1,216.5,1,38,2,211
12901,Loyal Customers,116,4,17654.539999999997,5,11,5,545
12902,Others,10,1,138.68,1,265,3,311
12904,Loyal Customers,72,4,509.57999999999976,3,19,4,443
12906,Loyal Customers,63,4,2919.809999999999,5,12,5,545
12908,Others,2,1,750,3,177,4,413
12909,Others,91,4,2178.67,5,40,2,245
12910,Others,75,4,3075.0400000000013,5,6,1,145
12912,Potential Loyalist,24,2,1662.3,4,15,5,524
12913,Loyal Customers,50,3,2483.6299999999997,5,16,4,435
12915,Potential Loyalist,22,2,363.65,2,149,5,522
12916,Loyal Customers,107,4,3006.1500000000005,5,139,5,545
12917,Others,2,1,594,3,277,3,313
12919,Others,50,3,1335.1899999999998,4,3,3,334
12920,Potential Loyalist,28,2,164.23000000000002,1,18,4,421
12921,Champions,720,5,16587.09000000002,5,10,5,555
12922,Others,28,2,405.38,2,337,2,222
12923,Loyal Customers,29,3,176.97,1,183,4,431
12924,Loyal Customers,30,3,933.7000000000003,3,1,5,533
12925,Others,45,3,694.0499999999998,3,75,1,133
12928,Others,84,4,2062.6999999999994,5,6,1,145
12929,Others,8,1,117.85000000000001,1,342,2,211
12930,Others,25,2,415.8,2,79,1,122
12931,Others,82,4,42055.95999999999,5,22,3,345
12933,Others,106,4,607.5299999999999,3,25,3,343
12935,Others,129,5,2160.6999999999994,5,27,3,355
12936,Loyal Customers,62,4,1063.9000000000005,4,18,4,444
12937,Loyal Customers,120,4,1504.2700000000004,4,16,4,444
12938,Others,9,1,114.14,1,26,3,311
12939,Others,47,3,11581.8,5,37,2,235
12940,Others,99,4,913.5400000000001,3,55,1,143
12942,Loyal Customers,75,4,683.9000000000001,3,132,5,543
12944,Others,30,3,604.51,3,243,3,333
12945,Others,23,2,462.95000000000005,2,289,3,322
12947,Others,97,4,1603.9900000000002,4,65,1,144
12948,Loyal Customers,116,4,2064.95,5,17,4,445
12949,Others,215,5,4167.220000000001,5,90,1,155
12950,Others,23,2,1843,4,25,3,324
12951,Loyal Customers,63,4,1064.0700000000004,4,174,4,444
12952,Others,79,4,1387.7900000000004,4,44,2,244
12953,Potential Loyalist,17,2,329.84999999999997,2,10,5,522
12955,Loyal Customers,180,5,4757.159999999999,5,17,4,455
12956,Potential Loyalist,19,2,108.07,1,191,4,421
12957,Champions,238,5,4017.5400000000027,5,10,5,555
12962,Potential Loyalist,16,2,266.39000000000004,2,114,5,522
12963,Loyal Customers,95,4,1856.6299999999997,4,11,5,544
12965,Others,109,4,771.9099999999996,3,31,2,243
12966,Others,10,1,160.18,1,10,5,511
12967,At Risk,19,2,1660.9,4,359,2,224
12968,Others,5,1,135.95,1,113,5,511
12970,Others,151,5,452.23999999999995,2,301,2,252
12971,Others,305,5,11189.909999999996,5,9,1,155
12974,Others,8,1,144.8,1,198,4,411
12976,Others,22,2,738.6,3,5,2,223
12977,Others,9,1,39.24,1,186,4,411
12980,At Risk,20,2,7374.900000000001,5,9,1,125
12981,Others,20,2,372.21999999999997,2,60,1,122
12982,Others,28,2,390.53999999999996,2,36,2,222
12984,Others,4,1,97.5,1,19,4,411
12985,Others,76,4,1239.38,4,29,3,344
12987,Others,28,2,558.7,3,74,1,123
12988,Others,92,4,535.32,3,293,3,343
12989,Loyal Customers,64,4,6924.109999999996,5,1,5,545
12990,Others,13,1,409.50000000000006,2,121,5,512
12991,Others,31,3,503.76,3,24,3,333
12993,Others,27,2,414.75999999999993,2,24,3,322
12994,Others,61,4,974.42,4,32,2,244
12995,Lost,3,1,211.32,1,86,1,111
12997,Loyal Customers,59,4,1226.89,4,1,5,544
12999,Potential Loyalist,28,2,455.8799999999999,2,128,5,522
13000,Loyal Customers,31,3,534.8500000000001,3,107,5,533
13001,Others,339,5,9818.820000000012,5,23,3,355
13002,Others,7,1,120.94999999999999,1,319,2,211
13003,Others,6,1,149.05,1,33,2,211
13004,Champions,404,5,5655.91,5,12,5,555
13005,Potential Loyalist,26,2,513.7,3,159,4,423
13006,Lost,4,1,81.57,1,57,1,111
13008,Others,14,2,229.47000000000003,1,324,2,221
13011,Lost,3,1,50.550000000000004,1,666,1,111
13012,Loyal Customers,89,4,1661.8400000000008,4,10,5,544
13013,Others,219,5,4810.9400000000005,5,22,3,355
13014,Loyal Customers,110,4,3466.2799999999997,5,11,5,545
13015,Others,176,5,3346.2800000000016,5,54,1,155
13016,Others,47,3,789.8899999999996,3,74,1,133
13017,Others,1,1,204,1,301,2,211
13018,Loyal Customers,458,5,7277.699999999997,5,17,4,455
13021,Others,131,5,2616.38,5,26,3,355
13023,Loyal Customers,40,3,689.9000000000001,3,183,4,433
13026,Others,40,3,975.3599999999998,4,98,1,134
13027,Potential Loyalist,26,2,6912,5,114,5,525
13028,Others,45,3,661.32,3,23,3,333
13029,At Risk,10,1,1247.5,4,90,1,114
